vol_label,vol_key,V_norm,p_norm_mean,p_norm_std
25%,v1,0.0010943802964372311,0.16604498726588032,0.012546641091372542
25%,v1,0.0011043292082230244,0.1684586383423859,0.010143055016157877
25%,v1,0.0011142781200088174,0.17007349716184073,0.007655468214379343
25%,v1,0.0011242270317946103,0.17194777930220811,0.009986034281307036
25%,v1,0.0011341759435804033,0.17402981035512713,0.009691740659371713
25%,v1,0.0011441248553661963,0.17659287137320925,0.007056110354071042
25%,v1,0.0011540737671519893,0.1797684731849595,0.010748762994336261
25%,v1,0.0011640226789377823,0.18323910431552382,0.010342704475117773
25%,v1,0.0011739715907235753,0.18515695053186246,0.012205299639163461
25%,v1,0.0011839205025093683,0.18594998009343916,0.01290273011131398
25%,v1,0.0011938694142951613,0.18634014705926064,0.01293792747544985
25%,v1,0.0012038183260809543,0.18699290661300302,0.011293148950875784
25%,v1,0.0012137672378667473,0.18894038072523417,0.011293148950875784
25%,v1,0.0012237161496525405,0.19010623589508469,0.009782353327813213
25%,v1,0.0012336650614383335,0.19137742923210727,0.010193188066603092
25%,v1,0.0012436139732241265,0.19041452859206792,0.011895274246188322
25%,v1,0.0012535628850099195,0.19008922193318706,0.010259371527992375
25%,v1,0.0012635117967957125,0.19014893896351687,0.014252788904826225
25%,v1,0.0012734607085815054,0.19116073104235357,0.01763142314845855
25%,v1,0.0012834096203672984,0.1916510928987362,0.01763142314845855
25%,v1,0.0012933585321530914,0.19231496153428046,0.01763142314845855
25%,v1,0.0013033074439388844,0.1927162243209549,0.015723630267740003
25%,v1,0.0013132563557246774,0.1932259578754828,0.0164471172563225
25%,v1,0.0013232052675104704,0.1932275444236147,0.016866634105337588
25%,v1,0.0013331541792962636,0.19343357543725218,0.017173385821865957
25%,v1,0.0013431030910820566,0.19388904024780398,0.017061242622721788
25%,v1,0.0013530520028678496,0.1948361629569292,0.015308663432736293
25%,v1,0.0013630009146536426,0.19647519894056234,0.01681825411390056
25%,v1,0.0013729498264394356,0.19827400746243076,0.013980762661343139
25%,v1,0.0013828987382252286,0.20044592769295694,0.011193300866499391
25%,v1,0.0013928476500110216,0.20373633949490605,0.011683900686316978
25%,v1,0.0014027965617968146,0.20591242614488037,0.01234363521885322
25%,v1,0.0014127454735826076,0.20878247985831447,0.008608765538761365
25%,v1,0.0014226943853684006,0.209900290109182,0.01571939806820435
25%,v1,0.0014326432971541935,0.21294565877637353,0.01571939806820435
25%,v1,0.0014425922089399865,0.21525960058786614,0.01763142314845856
25%,v1,0.0014525411207257798,0.2179214213225708,0.015287213629020004
25%,v1,0.0014624900325115727,0.21991642126266592,0.01493943182141365
25%,v1,0.0014724389442973657,0.22066580489873278,0.017625856722076942
25%,v1,0.0014823878560831587,0.22080472475169954,0.016558422098913932
25%,v1,0.0014923367678689517,0.22014063517895677,0.015497551056071547
25%,v1,0.0015022856796547447,0.21977764463384358,0.01493943182141365
25%,v1,0.0015122345914405377,0.2208567766153322,0.014909415246558113
25%,v1,0.0015221835032263307,0.2231881152679978,0.012694101852504549
25%,v1,0.0015321324150121237,0.22593433405986862,0.014500540223339627
25%,v1,0.0015420813267979167,0.22697584215211813,0.011180590340840145
25%,v1,0.0015520302385837097,0.22722546926463244,0.010334121957641195
25%,v1,0.0015619791503695027,0.22796566167545942,0.009786168064658578
25%,v1,0.0015719280621552959,0.2294692742699055,0.009935485789796942
25%,v1,0.0015818769739410889,0.23117148671555404,0.01087747188411905
25%,v1,0.0015918258857268819,0.23230474763084777,0.014867084677346862
25%,v1,0.0016017747975126749,0.23433058490016634,0.017631423148458565
25%,v1,0.0016117237092984679,0.23476658492539745,0.0171245183002289
25%,v1,0.0016216726210842608,0.23519552707257269,0.017571064920792214
25%,v1,0.0016316215328700538,0.2347301587515125,0.01728482198210709
25%,v1,0.0016415704446558468,0.23533462198486232,0.01717338582186597
25%,v1,0.0016515193564416398,0.23609181327156353,0.01717338582186597
25%,v1,0.0016614682682274328,0.23653792366856732,0.01919400212968199
25%,v1,0.0016714171800132258,0.2372348277143518,0.017532088009504034
25%,v1,0.001681366091799019,0.23787276195876922,0.015065571054536734
